Step 52. Reward: 10.154177, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 714.431809. Return so far: 392.728242. Done: 0. Took 266.847321 seconds!
Step 53. Reward: 10.153364, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 716.640996. Return so far: 402.881606. Done: 0. Took 266.795856 seconds!
Step 54. Reward: 10.135204, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 718.908993. Return so far: 413.016809. Done: 0. Took 270.363144 seconds!
Step 55. Reward: 10.142179, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 726.703534. Return so far: 423.158988. Done: 0. Took 268.821460 seconds!
Step 56. Reward: 10.362922, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 730.833927. Return so far: 433.521910. Done: 0. Took 268.085711 seconds!
Step 57. Reward: 10.791633, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 736.313777. Return so far: 444.313544. Done: 0. Took 267.983712 seconds!
Step 58. Reward: 11.168481, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 740.479578. Return so far: 455.482024. Done: 0. Took 269.794334 seconds!
Step 59. Reward: 11.284826, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 745.643316. Return so far: 466.766851. Done: 0. Took 272.126485 seconds!
Step 60. Reward: 11.331886, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 746.894722. Return so far: 478.098736. Done: 0. Took 272.396807 seconds!
Step 61. Reward: 11.325436, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 745.207943. Return so far: 489.424172. Done: 0. Took 269.532140 seconds!
Step 62. Reward: 11.309760, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 747.066689. Return so far: 500.733932. Done: 0. Took 268.504916 seconds!
Step 63. Reward: 11.315728, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 751.247286. Return so far: 512.049661. Done: 0. Took 268.122225 seconds!
